ime,ekipa,zmage,porazi
Lloyd Pierce,ATL,29,53
Brad Stevens,BOS,49,33
Kenny Atkinson,BRK,42,40
Fred Hoiberg,CHI,5,19
Jim Boylen,CHI,17,41
James Borrego,CHO,39,43
Tyronn Lue,CLE,0,6
Larry Drew,CLE,19,57
Rick Carlisle,DAL,33,49
Mike Malone,DEN,54,28
Dwane Casey,DET,41,41
Steve Kerr,GSW,57,25
Mike D'Antoni,HOU,53,29
Nate McMillan,IND,48,34
Doc Rivers,LAC,48,34
Luke Walton,LAL,37,45
J.B. Bickerstaff,MEM,33,49
Erik Spoelstra,MIA,39,43
Mike Budenholzer,MIL,60,22
Tom Thibodeau,MIN,19,21
Ryan Saunders,MIN,17,25
Alvin Gentry,NOP,33,49
David Fizdale,NYK,17,65
Billy Donovan,OKC,49,33
Steve Clifford,ORL,42,40
Brett Brown,PHI,51,31
Igor Kokoskov,PHO,19,63
Terry Stotts,POR,53,29
Dave Joerger,SAC,39,43
Gregg Popovich,SAS,48,34
Nick Nurse,TOR,58,24
Quin Snyder,UTA,50,32
Scott Brooks,WAS,32,50
