ime,pozicija,starost
Alex Abrines,SG,25
Quincy Acy,PF,28
Jaylen Adams,PG,22
Steven Adams,C,25
Bam Adebayo,C,21
Deng Adel,SF,21
DeVaughn Akoon-Purcell,SG,25
LaMarcus Aldridge,C,33
Rawle Alkins,SG,21
Grayson Allen,SG,23
Jarrett Allen,C,20
Kadeem Allen,SG,26
Al-Farouq Aminu,PF,28
Justin Anderson,SF,25
Kyle Anderson,SF,25
Ryan Anderson,PF,30
Ike Anigbogu,C,20
Giannis Antetokounmpo,PF,24
Kostas Antetokounmpo,PF,21
Carmelo Anthony,PF,34
OG Anunoby,SF,21
Ryan Arcidiacono,PG,24
Trevor Ariza,SF,33
D.J. Augustin,PG,31
Deandre Ayton,C,20
Dwayne Bacon,SG,23
Marvin Bagley,PF,19
Ron Baker,SG,25
Wade Baldwin,PG,22
Lonzo Ball,PG,21
Mohamed Bamba,C,20
J.J. Barea,PG,34
Harrison Barnes,PF-SF,26
Will Barton,SG,28
Keita Bates-Diop,SF,23
Nicolas Batum,SF,30
Jerryd Bayless,PG,30
Aron Baynes,C,32
Kent Bazemore,SG,29
Bradley Beal,SG,25
Malik Beasley,SG,22
Michael Beasley,PF,30
Marco Belinelli,SG,32
Jordan Bell,C,24
DeAndre' Bembry,SG,24
Dragan Bender,PF,21
Dairis Bertans,SG,29
Davis Bertans,PF,26
Patrick Beverley,PG,30
Khem Birch,C,26
Bismack Biyombo,C,26
Nemanja Bjelica,PF,30
Antonio Blakeney,SG,22
Eric Bledsoe,PG,29
Jaron Blossomgame,SF,25
Bogdan Bogdanovic,SG,26
Bojan Bogdanovic,SF,29
Andrew Bogut,C,34
Jonah Bolden,PF,23
Isaac Bonga,PG,19
Devin Booker,SG,22
Chris Boucher,PF,26
Avery Bradley,SG,28
Tony Bradley,C,21
Corey Brewer,SF,32
Mikal Bridges,SF,22
Miles Bridges,SF,20
Isaiah Briscoe,PG,22
Ryan Broekhoff,SG,28
Malcolm Brogdon,SG,26
Dillon Brooks,SF,23
MarShon Brooks,SG,30
Bruce Brown,SG,22
Jaylen Brown,SG,22
Lorenzo Brown,PG,28
Sterling Brown,SG,23
Troy Brown,SF,19
Jalen Brunson,PG,22
Thomas Bryant,C,21
Reggie Bullock,SG,27
Trey Burke,PG,26
Alec Burks,SG,27
Deonte Burton,SG,25
Jimmy Butler,SF-SG,29
Bruno Caboclo,SF,23
Jose Calderon,PG,37
Kentavious Caldwell-Pope,SG,25
Isaiah Canaan,PG,27
Clint Capela,C,24
DeMarre Carroll,PF,32
Jevon Carter,PG,23
Vince Carter,SF,42
Wendell Carter,C,19
Michael Carter-Williams,PG,27
Alex Caruso,PG,24
Omri Casspi,SF,30
Willie Cauley-Stein,C,25
Troy Caupain,PG,23
Tyler Cavanaugh,PF,24
Tyson Chandler,C,36
Wilson Chandler,PF-SF,31
Joe Chealey,PG,23
Chris Chiozza,PG,23
Marquese Chriss,PF,21
Gary Clark,PF,24
Ian Clark,SG,27
Jordan Clarkson,SG,26
John Collins,PF,21
Zach Collins,C,21
Darren Collison,PG,31
Bonzie Colson,SF,23
Mike Conley,PG,31
Pat Connaughton,SG,26
Quinn Cook,PG,25
DeMarcus Cousins,C,28
Robert Covington,SF,28
Allen Crabbe,SG,26
Torrey Craig,SF,28
Jamal Crawford,SG,38
Mitch Creek,SF,26
Jae Crowder,SF,28
Dante Cunningham,PF,31
Seth Curry,SG,28
Stephen Curry,PG,30
Troy Daniels,SG,27
Anthony Davis,C,25
Deyonta Davis,C,22
Ed Davis,C,29
Tyler Davis,C,21
Dewayne Dedmon,C,29
Sam Dekker,PF,24
Angel Delgado,C,24
Matthew Dellavedova,PG,28
Luol Deng,SF,33
DeMar DeRozan,SG,29
Marcus Derrickson,PF,22
Cheick Diallo,PF,22
Hamidou Diallo,SG,20
Gorgui Dieng,C,29
Spencer Dinwiddie,PG,25
Donte DiVincenzo,SG,22
Luka Doncic,SG,19
Tyler Dorsey,SG,22
Damyean Dotson,SG,24
PJ Dozier,SG,22
Goran Dragic,PG,32
Andre Drummond,C,25
Jared Dudley,PF,33
Kris Dunn,PG,24
Kevin Durant,PF,30
Trevon Duval,PG,20
Vince Edwards,SF,22
Henry Ellenson,PF,22
Wayne Ellington,SG,31
Joel Embiid,C,24
James Ennis,SF,28
Drew Eubanks,PF,21
Jacob Evans,SG,21
Jawun Evans,PG,22
Tyreke Evans,SG,29
Dante Exum,PG,23
Kenneth Faried,C,29
