kratica;zmage;porazi;ime
ATL;29;53;Atlanta Hawks
BOS;49;33;Boston Celtics
BRK;42;40;Brooklyn Nets
CHI;22;60;Chicago Bulls
CHO;39;43;Charlotte Hornets
CLE;19;63;Cleveland Cavaliers
DAL;33;49;Dallas Mavericks
DEN;54;28;Denver Nuggets
DET;41;41;Detroit Pistons
GSW;57;25;Golden State Warriors
HOU;53;29;Houston Rockets
IND;48;34;Indiana Pacers
LAC;48;34;Los Angeles Clippers
LAL;37;45;Los Angeles Lakers
MEM;33;49;Memphis Grizzlies
MIA;39;43;Miami Heat
MIL;60;22;Milwaukee Bucks
MIN;36;46;Minnesota Timberwolves
NOP;33;49;New Orleans Pelicans
NYK;17;65;New York Knicks
OKC;49;33;Oklahoma City Thunder
ORL;42;40;Orlando Magic
PHI;51;31;Philadelphia 76ers
PHO;19;63;Phoenix Suns
POR;53;29;Portland Trail Blazers
SAC;39;43;Sacramento Kings
SAS;48;34;San Antonio Spurs
TOR;58;24;Toronto Raptors
UTA;50;32;Utah Jazz
WAS;32;50;Washington Wizards
