ime;ekipa;stevilo_tekem;zacetna_postava;minutaza;stevilo_zadetih_metov_iz_igre;stevilo_metov_iz_igre;stevilo_zadetih_trojk;stevilo_trojk;stevilo_zadetih_prostih_metov;stevilo_prostih_metov;skoki_v_napadu;skoki_v_obrambi;podaje;ukradene_zoge;blokade;izgubljene_zoge;osebne_napake;tocke;Placa.placa
Aaron Gordon;ORL;78;78;2633;470;1046;121;347;185;253;129;445;289;57;56;162;172;1246;$21590909
Aaron Holiday;IND;50;0;646;105;262;43;127;41;50;5;62;87;21;13;40;70;294;$1911960
Abdel Nader;OKC;61;1;694;91;215;32;100;27;36;14;102;20;20;12;26;68;241;$1378242
Al Horford;BOS;68;68;1973;387;723;73;203;78;95;120;338;283;59;86;102;126;925;$28928710
Alan Williams;BRK;5;0;26;8;13;0;1;2;4;4;15;3;1;0;1;2;18;
Alec Burks;TOT;64;24;1375;192;474;61;168;116;141;30;205;128;39;21;65;91;561;
Alec Burks;UTA;17;0;269;47;114;16;43;33;38;2;25;20;6;4;15;22;143;
Alec Burks;CLE;34;24;979;136;340;45;119;79;98;26;160;98;25;16;46;62;396;
Alec Burks;SAC;13;0;127;9;20;0;6;4;5;2;20;10;8;1;4;7;22;$11536515
Alex Abrines;OKC;31;2;588;56;157;41;127;12;13;5;43;20;17;6;14;53;165;$5455236
Alex Caruso;LAL;25;4;531;77;173;24;50;51;64;20;47;77;24;9;42;54;229;
Alex Len;ATL;77;31;1544;320;648;74;204;140;216;158;266;86;27;69;97;200;854;$4350000
Alex Poythress;ATL;21;1;305;40;81;9;23;18;29;29;47;17;4;10;13;47;107;
Al-Farouq Aminu;POR;81;81;2292;257;593;96;280;150;173;112;498;104;68;33;72;143;760;$6957105
Alfonzo McKinnie;GSW;72;5;1003;134;275;42;118;27;48;81;166;31;18;15;30;134;337;$1349383
Alize Johnson;IND;14;0;64;4;16;1;2;4;8;4;15;1;1;3;0;7;13;$838464
Allen Crabbe;BRK;43;20;1133;137;373;98;259;41;56;16;132;46;23;13;46;102;413;$18500000
Allonzo Trier;NYK;64;3;1459;232;518;52;132;179;223;31;166;119;28;14;116;117;695;$3382000
Amile Jefferson;ORL;12;0;68;10;16;0;0;7;8;6;15;3;3;3;1;8;27;
Amir Johnson;PHI;51;6;529;79;157;12;40;31;41;47;100;60;16;13;45;99;201;$2393887
Andre Drummond;DET;79;79;2647;561;1052;5;38;243;412;423;809;112;136;138;175;272;1370;$25434263
Andre Iguodala;GSW;68;13;1578;151;302;48;144;39;67;48;204;216;61;51;52;95;389;$16000000
Andre Ingram;LAL;4;0;15;0;6;0;3;0;0;1;1;0;1;0;1;0;0;$76236
Andrew Bogut;GSW;11;5;134;18;36;0;0;3;3;12;43;11;3;8;8;22;39;$2393887
Andrew Harrison;TOT;17;0;187;16;53;5;25;17;18;6;14;24;4;2;12;34;54;
Andrew Harrison;MEM;1;0;5;1;2;0;1;0;0;0;0;0;0;0;0;1;2;$200000
Andrew Harrison;CLE;10;0;144;12;39;3;14;16;16;4;11;17;4;2;10;26;43;
Andrew Harrison;NOP;6;0;38;3;12;2;10;1;2;2;3;7;0;0;2;7;9;
Andrew Wiggins;MIN;73;73;2543;498;1209;118;348;207;296;83;269;184;70;48;138;153;1321;$25467250
Anfernee Simons;POR;20;1;141;28;63;10;29;9;16;3;10;13;1;0;11;9;75;$1835520
Angel Delgado;LAC;2;0;15;1;5;0;0;1;2;2;2;0;1;0;0;2;3;
Ante Zizic;CLE;59;25;1082;183;331;0;0;93;132;108;212;53;13;22;61;113;459;$1952760
Anthony Davis;NOP;56;56;1850;530;1026;48;145;344;433;174;498;218;88;135;112;132;1452;$25434263
Anthony Tolliver;MIN;65;0;1079;99;259;81;215;47;60;15;162;46;17;21;36;91;326;$5750000
Antonio Blakeney;CHI;57;3;829;166;396;36;91;50;76;7;99;42;12;9;35;41;418;$1349383
Aron Baynes;BOS;51;18;821;105;223;21;61;53;62;88;152;57;12;34;40;125;284;$5193600
Austin Rivers;HOU;47;13;1345;156;378;71;221;25;49;15;76;109;29;13;32;135;408;$1155323
Austin Rivers;TOT;76;15;2028;232;572;104;327;50;95;25;137;167;47;23;68;207;618;
Austin Rivers;WAS;29;2;683;76;194;33;106;25;46;10;61;58;18;10;36;72;210;
Avery Bradley;TOT;63;63;1905;248;608;86;245;43;50;43;132;152;41;16;89;167;625;
Avery Bradley;LAC;49;49;1463;161;420;58;172;20;25;35;96;96;27;16;61;133;400;
Avery Bradley;MEM;14;14;442;87;188;28;73;23;25;8;36;56;14;0;28;34;225;$12000000
B.J. Johnson;TOT;7;0;49;9;18;3;7;2;2;2;6;0;2;0;2;4;23;
B.J. Johnson;ATL;6;0;43;8;16;3;6;2;2;2;6;0;2;0;2;3;21;$94742
B.J. Johnson;SAC;1;0;6;1;2;0;1;0;0;0;0;0;0;0;0;1;2;$47371
Bam Adebayo;MIA;82;28;1913;280;486;3;15;166;226;165;432;184;71;65;121;203;729;$2955840
Ben McLemore;SAC;19;0;158;25;64;17;41;8;12;3;14;4;6;3;5;22;75;$5460000
Ben Simmons;PHI;79;79;2700;540;960;0;6;257;428;172;525;610;112;61;274;209;1337;$6434520
Billy Garrett;NYK;4;0;63;11;27;0;8;4;4;0;3;7;1;1;2;3;26;
Bismack Biyombo;CHO;54;32;783;89;156;0;0;58;91;81;166;33;11;41;34;103;236;$17000000
Blake Griffin;DET;75;75;2622;619;1341;189;522;414;550;100;465;402;52;28;253;199;1841;$32088932
Boban Marjanovic;PHI;22;3;305;75;120;4;8;26;36;32;81;32;5;10;22;33;180;$7000000
Boban Marjanovic;TOT;58;12;681;160;260;4;10;98;131;87;178;54;16;27;59;90;422;
Boban Marjanovic;LAC;36;9;376;85;140;0;2;72;95;55;97;22;11;17;37;57;242;
Bobby Portis;WAS;28;22;768;157;357;48;119;38;47;63;179;43;24;12;45;84;400;$2494346
Bobby Portis;TOT;50;28;1299;279;628;75;191;77;97;109;294;72;35;20;74;145;710;
Bobby Portis;CHI;22;6;531;122;271;27;72;39;50;46;115;29;11;8;29;61;310;
Bogdan Bogdanovic;SAC;70;17;1947;361;863;134;372;134;162;40;203;267;72;15;117;142;990;$9000000
Bojan Bogdanovic;IND;81;81;2573;522;1051;164;386;246;305;33;300;161;69;1;134;138;1454;$10500000
Bonzie Colson;MIL;8;2;98;13;39;5;21;8;9;8;22;3;5;1;3;3;39;
Brad Wanamaker;BOS;36;0;343;50;105;16;39;24;28;3;38;56;12;2;19;34;140;$838464
Bradley Beal;WAS;82;82;3028;764;1609;209;596;362;448;89;322;448;121;58;224;226;2099;$25434263
Brandon Goodwin;DEN;16;0;57;6;23;2;6;9;11;1;2;14;0;0;3;7;23;
Brandon Ingram;LAL;52;52;1760;362;729;31;94;195;289;41;226;154;28;31;129;149;950;$5757120
Brandon Knight;CLE;27;26;618;88;213;36;97;18;23;9;41;62;19;2;25;48;230;$14631250
Brandon Knight;TOT;39;26;736;99;260;41;129;27;34;10;49;71;21;2;30;62;266;
Brandon Knight;HOU;12;0;118;11;47;5;32;9;11;1;8;9;2;0;5;14;36;
Brandon Sampson;CHI;14;2;214;28;60;11;29;4;6;3;13;10;8;3;12;19;71;
Brook Lopez;MIL;81;81;2322;355;786;187;512;112;133;33;363;98;51;179;82;189;1009;$3382000
Bruce Brown;DET;74;56;1449;125;314;24;93;45;60;48;137;91;40;36;46;178;319;$838464
Bruno Caboclo;MEM;34;19;800;96;225;48;130;42;50;42;116;50;14;33;38;81;282;$487000
Bruno Caboclo;MEM;34;19;800;96;225;48;130;42;50;42;116;50;14;33;38;81;282;$183211
Bryn Forbes;SAS;82;81;2293;361;791;176;413;69;78;18;221;175;45;4;80;159;967;$3125000
Buddy Hield;SAC;82;82;2615;623;1360;278;651;171;193;106;306;205;58;33;146;202;1695;$3833760
C.J. Miles;MEM;13;0;294;42;105;24;66;13;14;1;26;14;8;5;9;17;121;$8333333
C.J. Miles;TOT;53;1;856;112;311;67;203;48;58;13;82;36;26;15;30;79;339;
C.J. Miles;TOR;40;1;562;70;206;43;137;35;44;12;56;22;18;10;21;62;218;
C.J. Williams;MIN;15;0;128;17;35;5;16;0;1;1;7;12;6;0;5;16;39;
Caleb Swanigan;TOT;21;0;178;18;53;1;7;6;9;17;47;11;6;1;18;28;43;
Caleb Swanigan;POR;18;0;145;14;44;1;5;6;7;13;39;7;4;0;16;22;35;
Caleb Swanigan;SAC;3;0;33;4;9;0;2;0;2;4;8;4;2;1;2;6;8;$1740000
Cameron Payne;CHI;31;12;536;69;168;16;59;22;25;10;43;83;20;6;34;49;176;$3263295
Cameron Payne;CLE;9;1;176;27;55;9;25;11;16;3;16;23;8;3;11;15;74;$177063
Cameron Payne;TOT;40;13;712;96;223;25;84;33;41;13;59;106;28;9;45;64;250;
Cameron Reynolds;MIN;19;0;259;33;78;21;51;8;9;4;27;13;6;2;5;26;95;$108953
Cameron Reynolds;MIN;19;0;259;33;78;21;51;8;9;4;27;13;6;2;5;26;95;$94742
Caris LeVert;BRK;40;25;1063;207;483;48;154;85;123;35;116;156;42;14;69;77;547;$1702800
Carmelo Anthony;HOU;10;2;294;49;121;21;64;15;22;9;45;5;4;7;8;32;134;
Cedi Osman;CLE;76;75;2444;360;844;130;374;141;181;45;312;195;60;11;114;195;991;$2775000
Chandler Hutchison;CHI;44;14;895;96;209;14;50;23;38;31;154;34;23;6;25;59;229;$1991520
Chandler Parsons;MEM;25;3;496;68;182;29;94;22;25;4;66;43;19;5;32;45;187;$24107258
Channing Frye;CLE;36;6;341;43;117;32;79;11;14;4;48;20;6;5;13;44;129;$2393887
Chasson Randle;WAS;49;2;743;91;217;46;115;43;62;10;46;97;25;3;43;91;271;$869094
Cheick Diallo;NOP;64;1;896;168;271;1;4;50;67;75;257;33;29;33;49;113;387;$1544951
Chimezie Metu;SAS;29;0;145;19;58;0;2;13;17;9;27;13;6;2;15;14;51;$838464
Chris Boucher;TOR;28;0;163;34;76;12;37;13;15;16;40;2;6;24;7;31;93;$457418
Chris Chiozza;HOU;7;0;33;2;8;2;5;0;0;1;3;4;1;1;1;2;6;$90005
Chris Chiozza;HOU;7;0;33;2;8;2;5;0;0;1;3;4;1;1;1;2;6;$47371
Chris Paul;HOU;58;58;1857;302;720;127;355;175;203;36;229;473;114;18;152;146;906;$35654150
Christian Wood;TOT;21;2;251;61;117;9;26;41;56;17;66;8;7;10;17;17;172;
Christian Wood;MIL;13;0;62;12;25;3;5;10;15;4;16;2;0;0;3;3;37;
Christian Wood;NOP;8;2;189;49;92;6;21;31;41;13;50;6;7;10;14;14;135;$1512601
CJ McCollum;POR;70;70;2375;571;1243;167;445;159;192;62;220;207;55;28;106;172;1468;$25759766
Clint Capela;HOU;67;67;2249;474;732;0;0;166;261;298;550;96;44;102;94;168;1114;$15293104
Cody Zeller;CHO;49;47;1243;190;345;6;22;111;141;110;223;102;38;41;62;164;497;$13528090
Collin Sexton;CLE;82;72;2605;519;1206;119;296;214;255;57;179;243;44;6;185;186;1371;$4068600
Corey Brewer;TOT;31;3;492;53;123;14;44;31;43;26;50;39;32;7;19;63;151;
Corey Brewer;PHI;7;3;140;20;49;4;14;9;13;4;13;10;12;2;8;16;53;$270496
Corey Brewer;SAC;24;0;352;33;74;10;30;22;30;22;37;29;20;5;11;47;98;$2000000
Corey Brewer;SAC;24;0;352;33;74;10;30;22;30;22;37;29;20;5;11;47;98;$270496
Cory Joseph;IND;82;9;2063;226;548;55;171;30;43;39;240;321;94;22;80;131;537;$7945000
Courtney Lee;DAL;22;4;268;32;82;11;39;5;7;3;24;21;13;1;9;19;80;$12253780
Courtney Lee;TOT;34;6;428;53;129;16;55;14;21;9;45;37;21;3;14;32;136;
Courtney Lee;NYK;12;2;160;21;47;5;16;9;14;6;21;16;8;2;5;13;56;
Cristiano Felicio;CHI;60;0;746;95;179;0;4;50;73;79;139;37;11;7;33;69;240;$8470980
D.J. Augustin;ORL;81;81;2269;318;677;131;311;181;209;41;162;426;52;4;128;115;948;$7250000
D.J. Stephens;MEM;1;0;7;1;2;0;0;0;0;0;0;0;1;0;1;0;2;
D.J. Wilson;MIL;48;3;882;104;251;46;127;26;47;45;177;52;18;20;32;85;280;$2534280
Dairis Bertans;NOP;12;0;167;12;47;10;34;0;0;2;7;10;1;0;2;7;34;$194220
Damian Jones;GSW;24;22;410;53;74;0;0;24;37;31;44;28;12;25;16;63;130;$1544951
Damian Lillard;POR;80;80;2838;681;1533;237;643;468;513;68;303;551;88;34;212;148;2067;$27977689
Damion Lee;GSW;32;0;375;56;127;27;68;19;22;8;56;13;13;0;11;28;158;
Damyean Dotson;NYK;73;40;2004;290;698;126;342;73;98;34;228;135;58;10;71;135;779;$1378242
D'Angelo Russell;BRK;81;81;2448;659;1517;234;635;160;205;53;262;563;100;20;253;141;1712;$7019698
Daniel Hamilton;ATL;19;3;204;23;60;8;23;3;6;10;37;22;6;1;16;19;57;$1349383
Daniel Theis;BOS;66;2;908;146;266;26;67;56;76;87;138;68;21;42;33;161;374;$1378242
Danilo Gallinari;LAC;68;68;2059;409;884;161;372;367;406;54;363;178;49;23;99;129;1346;$21587579
Danny Green;TOR;80;80;2216;293;630;198;435;37;44;60;257;126;73;53;75;171;821;$10000000
Dante Cunningham;SAS;64;21;928;75;158;30;65;14;18;48;140;50;27;13;22;71;194;$2500000
Dante Exum;UTA;42;1;664;101;241;18;62;68;86;16;52;110;14;5;52;69;288;$9600000
Danuel House;HOU;39;13;979;118;252;74;178;56;71;25;115;40;21;11;35;80;366;
Dario Saric;TOT;81;41;2023;304;696;118;323;132;150;126;331;127;45;9;97;182;858;
Dario Saric;PHI;13;13;396;48;132;21;70;27;30;21;65;26;4;3;25;39;144;
Dario Saric;MIN;68;28;1627;256;564;97;253;105;120;105;266;101;41;6;72;143;714;$2526840
Darius Miller;NOP;69;15;1757;189;484;133;364;56;71;14;114;146;40;23;59;165;567;$2205000
Darren Collison;IND;76;76;2143;308;659;79;194;158;190;36;196;459;110;9;125;138;853;$10000000
Daryl Macon;DAL;8;0;90;10;27;5;11;4;7;2;10;7;1;0;6;8;29;
David Nwaba;CLE;51;14;984;126;262;24;75;58;85;41;122;54;36;17;29;106;334;$1512601
Davis Bertans;SAS;76;12;1632;204;453;145;338;53;60;23;241;100;35;33;43;133;606;$7000000
Davon Reed;IND;10;0;47;5;12;2;4;0;0;2;4;3;1;0;1;3;12;
De'Aaron Fox;SAC;81;81;2546;505;1102;86;232;303;417;43;261;590;133;45;227;204;1399;$5470920
Deandre Ayton;PHO;71;70;2183;509;870;0;4;141;189;223;506;125;61;67;126;209;1159;$8165160
DeAndre' Bembry;ATL;82;15;1931;275;616;50;173;87;136;54;304;202;105;41;142;190;687;$1634640
DeAndre Jordan;NYK;19;19;493;78;123;0;0;51;66;64;152;57;9;20;42;42;207;$22900000
DeAndre Jordan;TOT;69;69;2047;286;446;0;0;186;264;225;677;156;42;73;153;167;758;
DeAndre Jordan;DAL;50;50;1554;208;323;0;0;135;198;161;525;99;33;53;111;125;551;
De'Anthony Melton;PHO;50;31;984;100;256;29;95;21;28;25;109;159;68;23;75;113;250;$949000
Delon Wright;TOT;75;13;1699;242;558;50;168;119;150;68;198;248;88;30;77;103;653;
Delon Wright;TOR;49;2;897;127;293;30;90;53;61;39;86;110;46;15;37;53;337;
Delon Wright;MEM;26;11;802;115;265;20;78;66;89;29;112;138;42;15;40;50;316;$2536898
DeMar DeRozan;SAS;77;77;2688;631;1313;7;45;366;441;54;408;475;86;36;199;177;1635;$27739975
DeMarcus Cousins;GSW;30;30;771;178;371;26;95;106;144;43;204;107;40;44;72;109;488;$5337000
DeMarre Carroll;BRK;67;8;1703;227;575;106;310;184;242;68;281;85;31;10;73;114;744;$15400000
Demetrius Jackson;PHI;6;0;39;8;15;2;6;4;4;2;1;5;2;0;1;4;22;
Deng Adel;CLE;19;3;194;11;36;6;23;4;4;3;16;5;1;4;6;13;32;
Dennis Schroder;OKC;79;14;2314;457;1104;124;364;186;227;38;246;323;65;12;172;189;1224;$15500000
Dennis Smith;TOT;53;50;1508;278;650;67;208;99;156;32;123;252;67;20;154;129;722;
Dennis Smith;DAL;32;32;908;157;357;43;125;57;82;18;79;138;40;11;100;82;414;
Dennis Smith;NYK;21;18;600;121;293;24;83;42;74;14;44;114;27;9;54;47;308;$3819960
Deonte Burton;OKC;32;0;240;33;82;8;27;8;12;4;24;9;6;8;9;31;82;
Derrick Favors;UTA;76;70;1766;363;619;17;78;154;228;207;353;89;56;106;84;163;897;$16900000
Derrick Jones;MIA;60;14;1153;160;324;28;91;74;122;96;144;37;46;42;43;123;422;$1512601
Derrick Rose;MIN;51;13;1392;363;753;54;146;137;160;33;107;220;31;12;82;57;917;$2176260
Derrick White;SAS;67;55;1728;260;543;48;142;95;123;35;212;263;67;47;97;145;663;$1667160
DeVaughn Akoon-Purcell;DEN;7;0;22;3;10;0;4;1;2;1;3;6;2;0;2;4;7;
Devin Booker;PHO;64;64;2242;586;1255;135;414;393;454;39;226;433;56;13;264;200;1700;$3314365
Devin Harris;DAL;68;2;1071;132;347;62;200;102;134;12;100;122;35;16;56;133;428;$2393887
Devin Robinson;WAS;7;0;95;19;32;0;2;9;14;6;14;6;4;6;2;11;47;
Devonte' Graham;CHO;46;3;676;74;216;34;121;35;46;10;53;121;23;2;30;48;217;$988464
Dewayne Dedmon;ATL;64;52;1609;259;526;83;217;92;113;105;375;90;69;71;84;214;693;$7200000
Deyonta Davis;ATL;9;0;118;15;22;0;1;6;10;10;26;5;3;5;3;12;36;$170916
Dillon Brooks;MEM;18;0;330;49;122;15;40;22;30;9;22;16;10;4;19;50;135;$1378242
Dion Waiters;MIA;44;28;1138;198;478;109;289;22;44;7;109;121;29;9;64;72;527;$11550000
Dirk Nowitzki;DAL;51;20;795;135;376;64;205;39;50;5;153;35;9;18;18;76;373;$5000000
Domantas Sabonis;IND;74;5;1838;413;700;9;17;208;291;186;504;212;48;30;160;239;1043;$2659800
Donatas Motiejunas;SAS;3;0;13;3;6;0;0;0;2;2;1;1;0;1;3;6;6;$59820
Donovan Mitchell;UTA;77;77;2598;661;1530;188;519;319;396;59;257;322;106;31;218;208;1829;$3111480
Donte DiVincenzo;MIL;27;0;411;50;124;22;83;9;12;16;49;31;13;6;19;38;131;$2481000
Donte Grantham;OKC;3;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;
Dorian Finney-Smith;DAL;81;26;1985;228;528;79;254;73;103;138;251;95;69;36;74;186;608;$1544951
Doug McDermott;IND;77;1;1340;207;422;84;206;66;79;17;92;67;18;8;42;104;564;$7333334
Dragan Bender;PHO;46;27;826;88;197;22;101;32;54;34;149;56;18;22;37;90;230;$4661280
Draymond Green;GSW;66;66;2065;188;422;47;165;63;91;60;421;454;95;70;169;197;486;$17469565
Drew Eubanks;SAS;23;0;113;15;26;0;0;11;13;6;28;7;2;5;8;11;41;
Duncan Robinson;MIA;15;1;161;18;46;10;35;4;6;2;17;5;5;0;4;11;50;
Dusty Hannahs;MEM;2;0;26;3;12;0;5;2;2;0;1;5;1;0;1;1;8;$47371
Dwayne Bacon;CHO;43;13;759;122;257;38;87;34;46;8;81;47;12;5;18;72;316;$1378242
Dwight Howard;WAS;9;9;230;43;69;0;0;29;48;24;59;4;7;4;16;34;115;$5337000
Dwight Powell;DAL;77;22;1662;290;486;39;127;196;254;140;271;112;44;50;67;201;815;$9631250
Dwyane Wade;MIA;72;2;1885;416;960;86;261;165;233;69;216;301;59;38;166;118;1083;$2393887
Dzanan Musa;BRK;9;0;39;9;22;1;10;0;2;1;4;2;2;0;4;1;19;$1632240
Ed Davis;BRK;81;1;1446;186;302;0;2;100;162;216;478;61;35;33;64;226;472;$4449000
Edmond Sumner;IND;23;2;210;22;64;7;27;15;24;9;15;10;12;5;10;26;66;$449794
Ekpe Udoh;UTA;51;1;320;50;72;0;0;19;30;27;63;28;10;31;13;36;119;$3360000
Elfrid Payton;NOP;42;42;1250;179;412;33;105;55;74;49;171;320;44;17;112;81;446;$3000000
Elie Okobo;PHO;53;16;958;114;290;39;132;37;47;12;86;127;32;7;69;109;304;$1238464
Emanuel Terry;TOT;3;0;23;4;7;0;0;2;4;3;4;2;3;0;2;4;10;
Emanuel Terry;PHO;2;0;20;4;6;0;0;1;2;2;4;1;3;0;2;4;9;$47371
Emanuel Terry;MIA;1;0;3;0;1;0;0;1;2;1;0;1;0;0;0;0;1;$47371
Emmanuel Mudiay;NYK;59;42;1607;330;740;69;210;144;186;33;163;228;43;19;140;103;873;$4294480
